parties  wall_median  wall_stddev  mpc_median  mpc_stddev  data_mb  rounds  global_mb
3  0.2010  0.0103  0.1665  0.0084  37.337  257  111.904
4  0.3870  0.0474  0.3351  0.0424  79.061  423  315.817
5  0.7305  0.0576  0.6667  0.0511  136.154  625  679.699
6  1.3295  0.0845  1.2373  0.0781  208.766  963  1250.430
8  2.8855  0.1057  2.7528  0.0990  399.931  1687  3193.330
10  5.9710  0.2988  5.7676  0.2846  652.524  2483  6512.030
