parties  n_total  n_success  success_rate  total_median  total_stddev  route_median  route_stddev  mpc_median  mpc_stddev  tunnel_sent_kb  tunnel_recv_kb
3  10  10  1.00  94.11  130.87  40.80  21.73  4.99  121.40  109309.7  109309.7
4  10  8  0.80  136.22  40.95  69.99  37.64  9.00  1.07  308473.1  308473.1
5  10  10  1.00  159.97  49.94  89.66  60.67  13.77  3.32  663866.6  663866.6
6  10  7  0.70  277.08  154.18  136.62  74.29  22.91  0.56  1221276.1  1221276.1
8  10  7  0.70  277.32  142.16  171.26  61.39  46.44  1.05  3118777.1  3118777.1
10  10  6  0.60  363.16  132.05  200.48  43.40  88.91  13.65  6359891.6  6359891.6
