parties  rate_40  rate_60  rate_80
3  1.00  1.00  1.00
4  0.80  1.00  0.80
5  0.80  1.00  0.20
6  0.80  0.80  0.40
8  1.00  0.60  0.40
10  1.00  0.60  0.40
15  0.80  0.80  0.20
20  0.20  0.00  nan
