parties  n_total  n_success  success_rate  total_median  total_stddev  route_median  route_stddev  mpc_median  mpc_stddev  tunnel_sent_kb  tunnel_recv_kb
3  10  10  1.00  95.03  16.79  50.73  19.65  0.38  3.17  116.5  116.5
4  10  8  0.80  123.32  73.75  72.28  37.31  0.56  56.20  283.8  283.8
5  9  8  0.89  152.26  187.01  88.30  51.37  1.26  20.69  705.5  705.5
6  10  8  0.80  245.11  117.35  107.56  75.60  1.98  88.24  1232.5  1232.5
8  10  10  1.00  226.55  218.58  135.81  24.36  7.62  79.30  2281.9  2281.9
10  10  8  0.80  350.91  56.06  291.01  45.07  3.60  4.61  4295.3  4295.3
15  10  4  0.40  503.00  750.28  174.12  214.13  62.22  142.81  13717.3  13717.3
20  10  3  0.30  249.67  90.95  33.42  23.94  13.15  0.06  31223.9  31223.9
