parties  n_total  n_success  success_rate  total_median  total_stddev  route_median  route_stddev  mpc_median  mpc_stddev  tunnel_sent_kb  tunnel_recv_kb
3  10  9  0.90  105.47  166.09  58.66  17.40  4.95  0.58  109309.7  109309.7
4  9  6  0.67  150.50  23.05  84.31  39.68  8.56  0.92  308473.1  308473.1
5  10  9  0.90  189.30  157.29  98.08  50.33  14.04  30.99  663866.6  663866.6
6  9  5  0.56  292.32  222.08  122.71  58.65  22.25  8.14  1221276.1  1221276.1
8  10  6  0.60  329.24  177.90  176.78  75.62  43.86  17.50  3118777.1  3118777.1
10  10  1  0.10  327.05  0.00  181.00  0.00  87.92  0.00  6359891.6  6359891.6
