parties  n_total  n_success  success_rate  total_median  total_stddev  route_median  route_stddev  mpc_median  mpc_stddev  tunnel_sent_kb  tunnel_recv_kb
3  10  9  0.90  70.74  42.75  22.02  14.54  0.38  16.47  116.5  116.5
4  10  7  0.70  69.05  64.55  22.08  9.42  0.54  44.96  283.8  283.8
5  10  9  0.90  211.15  560.35  25.13  96.43  1.78  19.33  705.5  705.5
6  10  8  0.80  229.66  582.09  33.08  41.02  22.03  132.65  1232.5  1232.5
8  10  8  0.80  270.54  232.98  25.22  48.15  2.66  101.50  2281.9  2281.9
10  9  6  0.67  162.04  200.15  38.04  77.11  7.12  47.42  4295.3  4295.3
15  10  5  0.50  621.12  867.04  33.11  105.14  7.58  275.83  13717.3  13717.3
20  10  4  0.40  600.96  576.53  72.31  105.77  18.27  35.97  16228.2  16228.2
