parties  n_total  n_success  success_rate  total_median  total_stddev  route_median  route_stddev  mpc_median  mpc_stddev  tunnel_sent_kb  tunnel_recv_kb
3  10  10  1.00  99.97  160.80  55.66  18.70  4.61  0.54  109309.7  109309.7
4  10  10  1.00  138.76  45.16  84.97  46.28  8.27  0.80  308473.1  308473.1
5  10  10  1.00  185.14  137.67  117.18  48.25  13.13  0.83  663866.6  663866.6
6  10  10  1.00  250.26  135.80  138.94  72.35  21.38  0.83  1221276.1  1221276.1
8  10  10  1.00  253.16  113.36  160.31  20.87  43.66  1.21  3118777.1  3118777.1
10  10  10  1.00  367.11  111.44  213.00  74.63  90.39  5.46  6359891.6  6359891.6
12  1  1  1.00  202.82  0.00  26.44  0.00  123.08  0.00  11309363.4  11309363.4
