parties  direct_median  veilid_mpc_median  veilid_total_median  overhead_mpc  overhead_total
3  0.0280  0.36  79.94  12.9  2855.0
4  0.0320  0.51  131.82  15.9  4119.4
5  0.0450  1.17  210.05  26.0  4667.8
6  0.0570  1.42  248.15  24.8  4353.5
8  0.1035  2.57  249.06  24.8  2406.4
10  0.1475  3.51  273.38  23.8  1853.4
15  0.3275  83.84  539.21  256.0  1646.4
20  0.5770  20.66  724.90  35.8  1256.3
